sample_ID,age_Ma,lat_N_dd,long_E_dd,d18O_mean,d18O_std,Dp17O_5305_mean,Dp17O_5305_std,lithology,lab,reference,notes
Cea19-1,1.00E-05,36.4,-114.65,2.9,0.5,-0.02,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-2,1.00E-05,34.75,-116.37,9,0.5,-0.185,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-3,1.00E-05,36.24,-116.81,,,-0.197,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-4,1.00E-05,79.8,-90.9,9.1,0.5,-0.058,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-5,1.00E-05,79.8,-90.9,9.6,0.5,-0.154,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-6,1.00E-05,-33.9,138.7,12.1,0.5,-0.087,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-7,1.00E-05,-33.9,138.7,5.8,0.5,-0.174,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-8,1.00E-05,-33.9,138.7,11.7,0.5,-0.346,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-9,6.00E+00,37.1,-2.1,12.1,0.5,-0.112,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-10,1.40E+01,75.4,-89.8,-19.7,0.5,0.058,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-11,1.40E+01,75.4,-89.8,-14.3,0.5,0.028,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-12,1.40E+01,75.4,-89.8,-14.6,0.5,0.028,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-13,1.40E+01,75.4,-89.8,-12.2,0.5,0.028,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-14,1.40E+01,75.4,-89.8,-13.1,0.5,0.02,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-15,1.40E+01,75.4,-89.8,-14.5,0.5,-0.021,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-16,5.45E+02,31.7,54.6,,,-0.258,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-17,5.45E+02,31.7,54.6,11.4,0.5,-0.165,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-18,5.45E+02,31.7,54.6,13.2,0.5,-0.246,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-19,5.45E+02,31.7,54.6,14,0.5,-0.286,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-20,5.45E+02,31.7,54.6,17.7,0.5,-0.237,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-25,5.60E+02,60.3,100.5,8.7,0.5,-0.179,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-26,5.60E+02,60.3,100.5,9.1,0.5,-0.22,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-27,5.60E+02,60.3,100.5,8.8,0.5,-0.149,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-28,5.60E+02,60.3,100.5,9.8,0.5,-0.2,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-29,5.60E+02,60.3,100.5,10.2,0.5,-0.128,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-30,5.80E+02,-18.6,126.8,16.6,0.5,-0.261,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-31,5.80E+02,-18.6,126.8,22.7,0.5,-0.161,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-32,6.35E+02,-18.6,126.8,24.6,0.5,-0.313,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-33,6.35E+02,-18.6,126.8,13.6,0.5,-0.319,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-34,6.35E+02,-18.6,126.8,15.2,0.5,-0.255,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-35,6.35E+02,-18.6,126.8,19.7,0.5,-0.186,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-36,6.35E+02,-18.6,126.8,12.9,0.5,-0.127,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-37,7.50E+02,64,-126,21,0.5,-0.242,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-38,7.50E+02,64,-126,21.6,0.5,-0.194,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-39,7.50E+02,64,-126,20.7,0.5,-0.23,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-40,7.50E+02,64,-126,,,-0.17,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-41,7.50E+02,64,-126,17.5,0.5,-0.214,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-42,7.50E+02,64,-126,20.6,0.5,-0.263,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-43,7.50E+02,64,-126,19.7,0.5,-0.233,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-44,7.90E+02,71,-110,13.2,0.5,-0.223,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-45,7.90E+02,71,-110,12.1,0.5,-0.18,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-46,7.90E+02,71,-110,12.7,0.5,-0.218,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-47,7.90E+02,71,-110,12,0.5,-0.206,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-48,7.90E+02,71,-110,14.8,0.5,-0.18,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-49,7.90E+02,71,-110,22.3,0.5,-0.153,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-50,7.90E+02,71,-110,13.6,0.5,-0.183,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-51,7.90E+02,71,-110,30.6,0.5,-0.192,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-52,7.90E+02,71,-110,10.8,0.5,-0.287,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-53,7.90E+02,71,-110,15.3,0.5,-0.237,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-54,7.90E+02,71,-110,11.7,0.5,-0.248,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-55,7.90E+02,71,-110,11.4,0.5,-0.278,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-56,7.90E+02,71,-110,9.2,0.5,-0.315,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-57,7.90E+02,71,-110,11.8,0.5,-0.369,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-58,7.90E+02,71,-110,13.1,0.5,-0.326,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-59,7.90E+02,71,-110,10.5,0.5,-0.278,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-60,7.90E+02,71,-110,10,0.5,-0.187,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-61,7.90E+02,71,-110,11.3,0.5,-0.302,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-62,7.95E+02,71,-110,11.2,0.5,-0.158,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-63,7.95E+02,71,-110,11.5,0.5,-0.15,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-64,7.95E+02,71,-110,11.6,0.5,0.013,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-65,7.95E+02,71,-110,12.2,0.5,-0.225,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-66,8.00E+02,-34,138.5,,,-0.088,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-68,8.05E+02,-23.55,134.35,22.4,0.5,-0.251,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-69,8.05E+02,-23.55,134.35,13.3,0.5,-0.223,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-70,8.05E+02,-23.55,134.35,22.3,0.5,-0.29,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-71,8.05E+02,-23.55,134.35,12.6,0.5,-0.224,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-72,8.05E+02,-23.55,134.35,23.3,0.5,-0.25,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-73,8.05E+02,-23.55,134.35,21.5,0.5,-0.194,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-74,8.05E+02,-23.55,134.35,12.5,0.5,-0.221,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-75,8.05E+02,-23.55,134.35,25.9,0.5,-0.283,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-76,8.05E+02,-23.55,134.35,28.4,0.5,-0.244,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-77,8.05E+02,-23.55,134.35,14.5,0.5,-0.292,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-78,8.05E+02,-23.55,134.35,21,0.5,-0.246,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-79,8.05E+02,-23.55,134.35,22,0.5,-0.182,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-80,8.15E+02,64,-126,14.7,0.5,-0.158,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-81,8.15E+02,64,-126,14.8,0.5,-0.241,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-83,8.15E+02,64,-126,17.3,0.5,-0.195,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-84,8.15E+02,64,-126,16.4,0.5,-0.171,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-85,8.15E+02,64,-126,13.7,0.5,-0.179,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-86,8.15E+02,64,-126,,,-0.199,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-87,8.15E+02,64,-126,14.9,0.5,-0.199,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-88,8.15E+02,64,-126,16.3,0.5,-0.178,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-90,8.15E+02,64,-126,18.9,0.5,-0.181,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-91,8.15E+02,64,-126,,,-0.26,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-92,8.15E+02,64,-126,11.4,0.5,-0.175,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-93,8.15E+02,64,-126,15,0.5,-0.18,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-94,8.15E+02,64,-126,16,0.5,-0.187,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-95,8.15E+02,64,-126,14.7,0.5,-0.305,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-96,8.15E+02,64,-126,,,-0.267,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-97,8.15E+02,64,-126,17,0.5,-0.165,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-100,8.15E+02,64,-126,18.4,0.5,-0.154,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-101,8.15E+02,64,-126,23.6,0.5,-0.285,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-102,8.15E+02,64,-126,14.2,0.5,-0.255,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-103,8.15E+02,64,-126,14.5,0.5,-0.324,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-104,8.15E+02,64,-126,15.2,0.5,-0.418,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-105,8.15E+02,64,-126,15.4,0.5,-0.275,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-106,8.15E+02,64,-126,,,-0.22,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-107,8.15E+02,64,-126,23.6,0.5,-0.319,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-108,8.15E+02,64,-126,13.9,0.5,-0.175,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-109,8.15E+02,64,-126,15.1,0.5,-0.182,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-110,8.15E+02,64,-126,28.9,0.5,-0.44,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-111,8.15E+02,64,-126,15.8,0.5,-0.162,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-112,8.15E+02,64,-126,14.8,0.5,-0.177,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-113,8.15E+02,64,-126,,,-0.266,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-114,8.15E+02,64,-126,15.4,0.5,-0.16,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-115,8.15E+02,64,-126,15,0.5,-0.153,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-116,8.15E+02,64,-126,14.8,0.5,-0.207,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-117,8.15E+02,64,-126,15.7,0.5,-0.143,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-118,8.15E+02,64,-126,14,0.5,-0.167,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-119,8.30E+02,-27,127,10.2,0.5,-0.234,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-120,8.30E+02,-27,127,10.1,0.5,-0.297,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-121,8.30E+02,-27,127,6.5,0.5,-0.319,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-122,8.83E+02,-6.123,23.576,17.8,0.5,-0.394,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-123,8.83E+02,-6.123,23.576,10.1,0.5,-0.218,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-124,8.83E+02,-6.123,23.576,8.8,0.5,-0.225,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-125,8.83E+02,-6.123,23.576,9.2,0.5,-0.276,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-126,8.83E+02,-6.123,23.576,8.9,0.5,-0.288,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-127,8.83E+02,-6.123,23.576,9.6,0.5,-0.241,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-129,8.83E+02,-6.123,23.576,13,0.5,-0.307,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-130,8.83E+02,-6.123,23.576,10.3,0.5,-0.441,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-131,8.83E+02,-6.123,23.576,9.5,0.5,-0.299,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-132,8.83E+02,-6.123,23.576,11.1,0.5,-0.367,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-133,8.83E+02,-6.123,23.576,11.9,0.5,-0.261,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-134,8.83E+02,-6.123,23.576,11.5,0.5,-0.205,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-135,8.83E+02,-6.123,23.576,10.2,0.5,-0.297,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-136,8.83E+02,-6.123,23.576,10.4,0.5,-0.277,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-137,8.83E+02,-6.123,23.576,10.9,0.5,-0.248,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-138,8.83E+02,-6.123,23.576,,,-0.339,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-139,8.83E+02,-6.123,23.576,10.5,0.5,-0.406,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-140,8.83E+02,-6.123,23.576,,,-0.335,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-141,8.83E+02,-13.14,28.42,12.2,0.5,-0.075,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-142,8.83E+02,-13.14,28.42,20.4,0.5,-0.245,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-143,8.83E+02,-13.14,28.42,22.8,0.5,-0.236,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-144,8.83E+02,-13.14,28.42,15.9,0.5,-0.283,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-145,8.83E+02,-13.14,28.42,20.4,0.5,-0.172,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-146,8.83E+02,-13.14,28.42,18.8,0.5,-0.204,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-148,8.83E+02,-13.14,28.42,19.9,0.5,-0.189,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-149,8.83E+02,-13.14,28.42,13.7,0.5,-0.173,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-150,8.83E+02,-13.14,28.42,19.9,0.5,-0.19,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-151,8.90E+02,71.24,-116.98,15.5,0.5,-0.241,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-152,8.90E+02,71.24,-116.98,16.6,0.5,-0.229,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-155,8.90E+02,71.24,-116.98,15.8,0.5,-0.228,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-156,8.90E+02,71.24,-116.98,12.5,0.5,-0.2,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
