sample_ID,lat_N_dd,long_E_dd,species,d18O_mean,d18O_std,d17O_mean,d17O_std,reference,notes
ST99-1,32.875,-117.241,H2O2_trop,25.4,,14.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-2,32.875,-117.241,H2O2_trop,31.7,,17.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-3,32.875,-117.241,H2O2_trop,26.7,,15.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-4,32.875,-117.241,H2O2_trop,38.7,,21.9,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-5,32.875,-117.241,H2O2_trop,36.5,,20.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-6,32.875,-117.241,H2O2_trop,34.9,,19.3,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-7,32.875,-117.241,H2O2_trop,37.4,,21.1,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-8,32.875,-117.241,H2O2_trop,32.8,,18.6,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-9,32.875,-117.241,H2O2_trop,29.7,,16.7,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-10,32.875,-117.241,H2O2_trop,28.1,,16.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-11,32.875,-117.241,H2O2_trop,28.3,,16,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-12,32.875,-117.241,H2O2_trop,46.6,,25.3,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-13,32.875,-117.241,H2O2_trop,45.8,,24.9,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-14,32.875,-117.241,H2O2_trop,38.4,,21,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-15,32.875,-117.241,H2O2_trop,44.6,,25.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-16,32.875,-117.241,H2O2_trop,52.6,,28.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-17,32.875,-117.241,H2O2_trop,51.6,,27.9,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-18,32.875,-117.241,H2O2_trop,44.3,,24.1,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-19,32.875,-117.241,H2O2_trop,34.6,,19.1,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-20,32.875,-117.241,H2O2_trop,26.9,,15.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-21,32.875,-117.241,H2O2_trop,43.7,,23.9,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-22,32.875,-117.241,H2O2_trop,42,,23.1,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-23,32.875,-117.241,H2O2_trop,32.8,,18.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-24,32.875,-117.241,H2O2_trop,34.3,,19,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-25,32.875,-117.241,H2O2_trop,29.7,,17.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-26,32.875,-117.241,H2O2_trop,28.2,,16.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-27,32.875,-117.241,H2O2_trop,21.9,,12.6,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-28,32.875,-117.241,H2O2_trop,24.9,,14.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-29,32.875,-117.241,H2O2_trop,28.9,,16.3,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-30,32.875,-117.241,H2O2_trop,31.2,,17.8,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-31,32.875,-117.241,H2O2_trop,28.2,,16.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-32,32.875,-117.241,H2O2_trop,34.6,,19.1,,Savarino and Thiemens (1999) Atmos. Environ.,
WAS-38-1,,,CO2_trop,41.56,,21.64319654,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-2,,,CO2_trop,42.34,,22.00213806,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-3,,,CO2_trop,42.14,,21.90503459,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-4,,,CO2_trop,41.77,,21.80567705,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-5,,,CO2_trop,41.81,,21.74520026,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-6,,,CO2_trop,42.06,,21.87988344,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-7,,,CO2_trop,41.88,,21.78062403,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-8,,,CO2_trop,42.03,,21.86776871,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-9,,,CO2_trop,41.77,,21.72597932,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-10,,,CO2_trop,42.05,,21.8891297,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-11,,,CO2_trop,42.09,,21.8695165,,Laskar et al. (2019) Earth Space Sci.,
WAS-38-12,,,CO2_trop,42.17,,21.92532352,,Laskar et al. (2019) Earth Space Sci.,
WAS-43-2,,,CO2_trop,41.94,,21.73946208,,Laskar et al. (2019) Earth Space Sci.,
WAS-43-3,,,CO2_trop,41.88,,21.71114531,,Laskar et al. (2019) Earth Space Sci.,
WAS-43-6,,,CO2_trop,41.65,,21.67546569,,Laskar et al. (2019) Earth Space Sci.,
WAS-43-7,,,CO2_trop,41.57,,21.61352241,,Laskar et al. (2019) Earth Space Sci.,
WAS-43-8,,,CO2_trop,41.63,,21.70927609,,Laskar et al. (2019) Earth Space Sci.,
WAS-43-9,,,CO2_trop,41.24,,21.49450128,,Laskar et al. (2019) Earth Space Sci.,
WAS-43-10,,,CO2_trop,41.6,,21.5755824,,Laskar et al. (2019) Earth Space Sci.,
WAS-43-11,,,CO2_trop,41.51,,21.54433576,,Laskar et al. (2019) Earth Space Sci.,
28.12.12 11:45,25.041,121.614,CO2_trop,41.5,,21.43814728,,Liang et al. (2017) Sci. Rep.,
29.12.12 17:00,25.041,121.614,CO2_trop,41.48,,21.53017393,,Liang et al. (2017) Sci. Rep.,
02.01.13 10:15,25.041,121.614,CO2_trop,39.09,,20.2586671,,Liang et al. (2017) Sci. Rep.,
15.01.13 11:00,25.041,121.614,CO2_trop,39.41,,20.50241949,,Liang et al. (2017) Sci. Rep.,
24.01.13 11:00,25.041,121.614,CO2_trop,41.68,,21.55783759,,Liang et al. (2017) Sci. Rep.,
25.01.13 12:52,25.041,121.614,CO2_trop,40.91,,21.14769975,,Liang et al. (2017) Sci. Rep.,
26.01.13 19:00,25.041,121.614,CO2_trop,39.84,,20.71513795,,Liang et al. (2017) Sci. Rep.,
24.09.13 10:40,25.041,121.614,CO2_trop,41.25,,21.33817924,,Liang et al. (2017) Sci. Rep.,
25.09.13 14:10,25.041,121.614,CO2_trop,41.17,,21.36509575,,Liang et al. (2017) Sci. Rep.,
26.09.13 20:00,25.041,121.614,CO2_trop,40.7,,21.09857176,,Liang et al. (2017) Sci. Rep.,
25.09.13 14:30,25.041,121.614,CO2_trop,40.96,,21.28942999,,Liang et al. (2017) Sci. Rep.,
26.09.13 23:30,25.041,121.614,CO2_trop,40.12,,20.83959699,,Liang et al. (2017) Sci. Rep.,
07.10.13 11:30,25.041,121.614,CO2_trop,40.47,,20.9392405,,Liang et al. (2017) Sci. Rep.,
08.10.13 14:50,25.041,121.614,CO2_trop,41.14,,21.24165275,,Liang et al. (2017) Sci. Rep.,
09.10.13 22:20,25.041,121.614,CO2_trop,39.27,,20.34373794,,Liang et al. (2017) Sci. Rep.,
08.10.13 10:20,25.041,121.614,CO2_trop,39.62,,20.55165065,,Liang et al. (2017) Sci. Rep.,
09.10.13 14:40,25.041,121.614,CO2_trop,40.02,,20.70423034,,Liang et al. (2017) Sci. Rep.,
10.10.13 21:40,25.041,121.614,CO2_trop,40.25,,20.86867963,,Liang et al. (2017) Sci. Rep.,
16.10.13 10:30,25.041,121.614,CO2_trop,40.49,,20.99939448,,Liang et al. (2017) Sci. Rep.,
17.10.13 14:20,25.041,121.614,CO2_trop,40.48,,20.96165983,,Liang et al. (2017) Sci. Rep.,
18.10.13 21:00,25.041,121.614,CO2_trop,40.23,,20.85651014,,Liang et al. (2017) Sci. Rep.,
17.10.13 10:00,25.041,121.614,CO2_trop,40.76,,21.15754022,,Liang et al. (2017) Sci. Rep.,
18.10.13 14:30,25.041,121.614,CO2_trop,40.23,,20.88203187,,Liang et al. (2017) Sci. Rep.,
19.10.13 15:00,25.041,121.614,CO2_trop,40.36,,20.93867372,,Liang et al. (2017) Sci. Rep.,
20.10.13 17:20,25.041,121.614,CO2_trop,39.89,,20.72004853,,Liang et al. (2017) Sci. Rep.,
21.10.13 23:59,25.041,121.614,CO2_trop,39.77,,20.66947495,,Liang et al. (2017) Sci. Rep.,
25.10.13 10:00,25.041,121.614,CO2_trop,40.39,,20.98347273,,Liang et al. (2017) Sci. Rep.,
26.10.13 14:05,25.041,121.614,CO2_trop,40.45,,20.97199409,,Liang et al. (2017) Sci. Rep.,
27.10.13 23:45,25.041,121.614,CO2_trop,40.15,,20.83947723,,Liang et al. (2017) Sci. Rep.,
26.10.13 10:00,25.041,121.614,CO2_trop,40.4,,20.95994919,,Liang et al. (2017) Sci. Rep.,
27.10.13 00:45,25.041,121.614,CO2_trop,40.26,,20.89416115,,Liang et al. (2017) Sci. Rep.,
30.10.13 10:10,25.041,121.614,CO2_trop,40.42,,21.03235738,,Liang et al. (2017) Sci. Rep.,
31.10.13 14:30,25.041,121.614,CO2_trop,40.51,,21.12592284,,Liang et al. (2017) Sci. Rep.,
31.10.13 10:00,25.041,121.614,CO2_trop,41.22,,21.3475072,,Liang et al. (2017) Sci. Rep.,
01.11.13 14:00,25.041,121.614,CO2_trop,41.2,,21.3853881,,Liang et al. (2017) Sci. Rep.,
02.11.13 22:20,25.041,121.614,CO2_trop,41.02,,21.29733574,,Liang et al. (2017) Sci. Rep.,
04.11.13 10:30,25.041,121.614,CO2_trop,40.49,,21.00756251,,Liang et al. (2017) Sci. Rep.,
05.11.13 14:30,25.041,121.614,CO2_trop,40.6,,21.07857436,,Liang et al. (2017) Sci. Rep.,
06.11.13 18:30,25.041,121.614,CO2_trop,40.37,,20.98559694,,Liang et al. (2017) Sci. Rep.,
09.11.13 10:30,25.041,121.614,CO2_trop,41.08,,21.33179408,,Liang et al. (2017) Sci. Rep.,
10.11.13 18:30,25.041,121.614,CO2_trop,40.3,,20.95933795,,Liang et al. (2017) Sci. Rep.,
19.11.13 10:00,25.041,121.614,CO2_trop,40.58,,21.11643926,,Liang et al. (2017) Sci. Rep.,
20.11.13 14:00,25.041,121.614,CO2_trop,40.5,,21.06265672,,Liang et al. (2017) Sci. Rep.,
21.11.13 18:00,25.041,121.614,CO2_trop,40.54,,21.06146845,,Liang et al. (2017) Sci. Rep.,
26.11.13 11:00,25.041,121.614,CO2_trop,40.74,,21.16171071,,Liang et al. (2017) Sci. Rep.,
27.11.13 15:00,25.041,121.614,CO2_trop,40.86,,21.19897634,,Liang et al. (2017) Sci. Rep.,
28.11.13 21:00,25.041,121.614,CO2_trop,40.28,,20.88285022,,Liang et al. (2017) Sci. Rep.,
27.01.14 10:30,25.041,121.614,CO2_trop,41.31,,21.50337631,,Liang et al. (2017) Sci. Rep.,
28.01.14 15:20,25.041,121.614,CO2_trop,41.21,,21.44764936,,Liang et al. (2017) Sci. Rep.,
29.01.14 18:00,25.041,121.614,CO2_trop,41.31,,21.50541932,,Liang et al. (2017) Sci. Rep.,
03.02.14 11:10,25.041,121.614,CO2_trop,41.18,,21.41918453,,Liang et al. (2017) Sci. Rep.,
04.02.14 14:30,25.041,121.614,CO2_trop,41.38,,21.50305547,,Liang et al. (2017) Sci. Rep.,
05.02.14 19:30,25.041,121.614,CO2_trop,41.4,,21.53156584,,Liang et al. (2017) Sci. Rep.,
06.02.14 19:30,25.041,121.614,CO2_trop,41.4,,21.53667352,,Liang et al. (2017) Sci. Rep.,
17.02.14 10:30,25.041,121.614,CO2_trop,40.39,,20.93855044,,Liang et al. (2017) Sci. Rep.,
18.02.14 14:30,25.041,121.614,CO2_trop,41.51,,21.56987469,,Liang et al. (2017) Sci. Rep.,
19.02.14 18:00,25.041,121.614,CO2_trop,41.06,,21.32779774,,Liang et al. (2017) Sci. Rep.,
19.02.14 10:00,25.041,121.614,CO2_trop,40.59,,21.07861653,,Liang et al. (2017) Sci. Rep.,
20.02.14 18:00,25.041,121.614,CO2_trop,40.39,,21.02227084,,Liang et al. (2017) Sci. Rep.,
21.02.14 15:35,25.041,121.614,CO2_trop,40.36,,20.93867372,,Liang et al. (2017) Sci. Rep.,
20.02.14 14:30,25.041,121.614,CO2_trop,40.94,,21.28236879,,Liang et al. (2017) Sci. Rep.,
21.02.14 18:00,25.041,121.614,CO2_trop,40.65,,21.08040494,,Liang et al. (2017) Sci. Rep.,
22.02.14 12:15,25.041,121.614,CO2_trop,41.47,,21.59662202,,Liang et al. (2017) Sci. Rep.,
23.02.14 17:00,25.041,121.614,CO2_trop,41.49,,21.55464443,,Liang et al. (2017) Sci. Rep.,
24.02.14 17:30,25.041,121.614,CO2_trop,41.56,,21.63910998,,Liang et al. (2017) Sci. Rep.,
06.03.14 16:30,25.041,121.614,CO2_trop,39.28,,20.35186501,,Liang et al. (2017) Sci. Rep.,
16.04.14 14:40,25.041,121.614,CO2_trop,40.01,,20.72672541,,Liang et al. (2017) Sci. Rep.,
08.05.14 10:42,25.041,121.614,CO2_trop,40.26,,20.91253741,,Liang et al. (2017) Sci. Rep.,
04.06.14 10:40,25.041,121.614,CO2_trop,40.83,,21.24812524,,Liang et al. (2017) Sci. Rep.,
05.06.14 12:30,25.041,121.614,CO2_trop,41.17,,21.42025096,,Liang et al. (2017) Sci. Rep.,
06.06.14 17:00,25.041,121.614,CO2_trop,41.13,,21.43268761,,Liang et al. (2017) Sci. Rep.,
14.06.14 19:45,25.041,121.614,CO2_trop,39.92,,20.759741,,Liang et al. (2017) Sci. Rep.,
21.07.14 10:50,25.041,121.614,CO2_trop,41.41,,21.51926141,,Liang et al. (2017) Sci. Rep.,
22.07.14 09:45,25.041,121.614,CO2_trop,41.19,,21.42628944,,Liang et al. (2017) Sci. Rep.,
24.07.14 10:10,25.041,121.614,CO2_trop,40.41,,21.03750385,,Liang et al. (2017) Sci. Rep.,
25.07.14 10:00,25.041,121.614,CO2_trop,39.19,,20.37463266,,Liang et al. (2017) Sci. Rep.,
26.07.14 11:00,25.041,121.614,CO2_trop,40.08,,20.87548601,,Liang et al. (2017) Sci. Rep.,
27.07.14 15:15,25.041,121.614,CO2_trop,40.05,,20.84089557,,Liang et al. (2017) Sci. Rep.,
05.08.14 10:20,25.041,121.614,CO2_trop,37.33,,19.39922004,,Liang et al. (2017) Sci. Rep.,
06.08.14 10:25,25.041,121.614,CO2_trop,39.61,,20.62823228,,Liang et al. (2017) Sci. Rep.,
07.08.14 11:50,25.041,121.614,CO2_trop,40.22,,20.93822229,,Liang et al. (2017) Sci. Rep.,
08.08.14 11:20,25.041,121.614,CO2_trop,39.96,,20.82185336,,Liang et al. (2017) Sci. Rep.,
03.09.14 09:00,25.041,121.614,CO2_trop,39.55,,20.64478572,,Liang et al. (2017) Sci. Rep.,
04.09.14 12:00,25.041,121.614,CO2_trop,41.96,,21.70360426,,Liang et al. (2017) Sci. Rep.,
27.10.14 11:10,25.041,121.614,CO2_trop,41.34,,21.45318667,,Liang et al. (2017) Sci. Rep.,
28.10.14 14:23,25.041,121.614,CO2_trop,41.25,,21.38209772,,Liang et al. (2017) Sci. Rep.,
29.10.14 18:01,25.041,121.614,CO2_trop,41.1,,21.32455561,,Liang et al. (2017) Sci. Rep.,
18.11.14 09:30,25.041,121.614,CO2_trop,40.49,,21.00347849,,Liang et al. (2017) Sci. Rep.,
19.11.14 14:00,25.041,121.614,CO2_trop,40.64,,21.13558719,,Liang et al. (2017) Sci. Rep.,
20.11.14 18:08,25.041,121.614,CO2_trop,40.57,,21.1021858,,Liang et al. (2017) Sci. Rep.,
16.01.15 10:00,25.041,121.614,CO2_trop,41.25,,21.40967541,,Liang et al. (2017) Sci. Rep.,
17.01.15 13:00,25.041,121.614,CO2_trop,41.17,,21.38654464,,Liang et al. (2017) Sci. Rep.,
26.01.15 14:00,25.041,121.614,CO2_trop,41.29,,21.43809341,,Liang et al. (2017) Sci. Rep.,
19.03.15 13:20,25.041,121.614,CO2_trop,41.8,,21.7176616,,Liang et al. (2017) Sci. Rep.,
20.03.15 13:30,25.041,121.614,CO2_trop,41.76,,21.69435419,,Liang et al. (2017) Sci. Rep.,
21.03.15 13:40,25.041,121.614,CO2_trop,41.66,,21.63250888,,Liang et al. (2017) Sci. Rep.,
22.03.15 13:50,25.041,121.614,CO2_trop,41.8,,21.72174848,,Liang et al. (2017) Sci. Rep.,
23.03.15 14:00,25.041,121.614,CO2_trop,41.75,,21.70257561,,Liang et al. (2017) Sci. Rep.,
02.04.15 09:30,25.041,121.614,CO2_trop,40.61,,21.08976406,,Liang et al. (2017) Sci. Rep.,
03.04.15 12:53,25.041,121.614,CO2_trop,40.85,,21.18574427,,Liang et al. (2017) Sci. Rep.,
04.04.15 18:30,25.041,121.614,CO2_trop,41.42,,21.46814055,,Liang et al. (2017) Sci. Rep.,
23.04.15 10:20,25.041,121.614,CO2_trop,41.56,,21.53592964,,Liang et al. (2017) Sci. Rep.,
24.04.15 14:30,25.041,121.614,CO2_trop,41.67,,21.63859129,,Liang et al. (2017) Sci. Rep.,
08.05.15 09:25,25.041,121.614,CO2_trop,40.14,,20.83339218,,Liang et al. (2017) Sci. Rep.,
09.05.15 12:40,25.041,121.614,CO2_trop,40.87,,21.19995405,,Liang et al. (2017) Sci. Rep.,
10.05.15 17:30,25.041,121.614,CO2_trop,40.42,,21.00989492,,Liang et al. (2017) Sci. Rep.,
11.05.15 14:30,25.041,121.614,CO2_trop,42.05,,21.83701469,,Liang et al. (2017) Sci. Rep.,
12.05.15 17:30,25.041,121.614,CO2_trop,41.04,,21.27682141,,Liang et al. (2017) Sci. Rep.,
28.05.15 09:00,25.041,121.614,CO2_trop,40.51,,20.96868155,,Liang et al. (2017) Sci. Rep.,
29.05.15 13:20,25.041,121.614,CO2_trop,41.33,,21.44506086,,Liang et al. (2017) Sci. Rep.,
30.05.15 17:52,25.041,121.614,CO2_trop,41.24,,21.40972076,,Liang et al. (2017) Sci. Rep.,
11.06.15 09:50,25.041,121.614,CO2_trop,40.76,,21.16366718,,Liang et al. (2017) Sci. Rep.,
12.06.15 13:05,25.041,121.614,CO2_trop,41.71,,21.64759601,,Liang et al. (2017) Sci. Rep.,
13.06.15 17:15,25.041,121.614,CO2_trop,40.78,,21.17583517,,Liang et al. (2017) Sci. Rep.,
25.06.15 09:20,25.041,121.614,CO2_trop,40.17,,20.85675156,,Liang et al. (2017) Sci. Rep.,
26.06.15 13:10,25.041,121.614,CO2_trop,40.66,,21.11916427,,Liang et al. (2017) Sci. Rep.,
27.06.15 17:15,25.041,121.614,CO2_trop,40.2,,20.89848705,,Liang et al. (2017) Sci. Rep.,
23.07.15 09:40,25.041,121.614,CO2_trop,41.08,,21.37264817,,Liang et al. (2017) Sci. Rep.,
24.07.15 13:00,25.041,121.614,CO2_trop,41.35,,21.51442986,,Liang et al. (2017) Sci. Rep.,
25.07.15 17:00,25.041,121.614,CO2_trop,39.96,,20.75754361,,Liang et al. (2017) Sci. Rep.,
06.08.15 09:20,25.041,121.614,CO2_trop,40.93,,21.32632871,,Liang et al. (2017) Sci. Rep.,
07.08.15 13:10,25.041,121.614,CO2_trop,41.48,,21.56899282,,Liang et al. (2017) Sci. Rep.,
08.08.15 17:00,25.041,121.614,CO2_trop,41.59,,21.63181765,,Liang et al. (2017) Sci. Rep.,
20.08.15 09:25,25.041,121.614,CO2_trop,41.68,,21.68247525,,Liang et al. (2017) Sci. Rep.,
21.08.15 13:10,25.041,121.614,CO2_trop,41.66,,21.67439667,,Liang et al. (2017) Sci. Rep.,
22.08.15 17:50,25.041,121.614,CO2_trop,39.72,,20.7074305,,Liang et al. (2017) Sci. Rep.,
03.09.15 09:30,25.041,121.614,CO2_trop,39.74,,20.65427921,,Liang et al. (2017) Sci. Rep.,
04.09.15 12:45,25.041,121.614,CO2_trop,40.48,,21.05763474,,Liang et al. (2017) Sci. Rep.,
05.09.15 17:30,25.041,121.614,CO2_trop,39.3,,20.49567318,,Liang et al. (2017) Sci. Rep.,
15.09.15 13:30,25.041,121.614,CO2_trop,41.12,,21.41638958,,Liang et al. (2017) Sci. Rep.,
16.09.15 17:00,25.041,121.614,CO2_trop,40.65,,21.17230631,,Liang et al. (2017) Sci. Rep.,
13.10.15 09:30,25.041,121.614,CO2_trop,40.62,,21.18775112,,Liang et al. (2017) Sci. Rep.,
14.10.15 13:20,25.041,121.614,CO2_trop,40.8,,21.21353313,,Liang et al. (2017) Sci. Rep.,
27.10.15 09:30,25.041,121.614,CO2_trop,40.03,,20.79401688,,Liang et al. (2017) Sci. Rep.,
28.10.15 13:30,25.041,121.614,CO2_trop,40.73,,21.16788055,,Liang et al. (2017) Sci. Rep.,
13.11.15 09:15,25.041,121.614,CO2_trop,39.82,,20.6999042,,Liang et al. (2017) Sci. Rep.,
14.11.15 13:00,25.041,121.614,CO2_trop,40.64,,21.12231251,,Liang et al. (2017) Sci. Rep.,
15.11.15 17:00,25.041,121.614,CO2_trop,39.45,,20.5032941,,Liang et al. (2017) Sci. Rep.,
27.11.15 09:30,25.041,121.614,CO2_trop,40.81,,21.19306587,,Liang et al. (2017) Sci. Rep.,
28.11.15 13:30,25.041,121.614,CO2_trop,40.91,,21.25186213,,Liang et al. (2017) Sci. Rep.,
29.11.15 17:00,25.041,121.614,CO2_trop,40.92,,21.29164799,,Liang et al. (2017) Sci. Rep.,
08.12.15 09:15,25.041,121.614,CO2_trop,40.71,,21.14039495,,Liang et al. (2017) Sci. Rep.,
09.12.15 17:15,25.041,121.614,CO2_trop,40.78,,21.19319531,,Liang et al. (2017) Sci. Rep.,
22.12.15 09:30,25.041,121.614,CO2_trop,40.63,,21.09989043,,Liang et al. (2017) Sci. Rep.,
23.12.15 13:30,25.041,121.614,CO2_trop,41.46,,21.59462525,,Liang et al. (2017) Sci. Rep.,
24.12.15 17:00,25.041,121.614,CO2_trop,41.37,,21.46837093,,Liang et al. (2017) Sci. Rep.,
14.11.13 10:10,25.015,121.542,CO2_trop,40.94,,21.28134751,,Liang et al. (2017) Sci. Rep.,
15.11.13 14:03,25.015,121.542,CO2_trop,41.29,,21.46260822,,Liang et al. (2017) Sci. Rep.,
16.11.13 19:20,25.015,121.542,CO2_trop,38.32,,19.97556952,,Liang et al. (2017) Sci. Rep.,
15.11.13 10:40,25.015,121.542,CO2_trop,39.41,,20.56773374,,Liang et al. (2017) Sci. Rep.,
16.11.13 14:05,25.015,121.542,CO2_trop,39.34,,20.49961143,,Liang et al. (2017) Sci. Rep.,
17.11.13 19:12,25.015,121.542,CO2_trop,38.26,,19.90435909,,Liang et al. (2017) Sci. Rep.,
16.11.13 10:55,25.015,121.542,CO2_trop,40.02,,20.78486916,,Liang et al. (2017) Sci. Rep.,
17.11.13 14:22,25.015,121.542,CO2_trop,40.24,,20.89628391,,Liang et al. (2017) Sci. Rep.,
18.11.13 19:28,25.015,121.542,CO2_trop,38.52,,20.03205912,,Liang et al. (2017) Sci. Rep.,
24.11.13 11:07,25.015,121.542,CO2_trop,41.68,,21.55783759,,Liang et al. (2017) Sci. Rep.,
25.11.13 12:52,25.015,121.542,CO2_trop,40.91,,21.14769975,,Liang et al. (2017) Sci. Rep.,
26.11.13 19:00,25.015,121.542,CO2_trop,39.84,,20.71513795,,Liang et al. (2017) Sci. Rep.,
28.11.13 11:20,25.015,121.542,CO2_trop,40.04,,20.76437486,,Liang et al. (2017) Sci. Rep.,
29.11.13 14:32,25.015,121.542,CO2_trop,40.25,,20.89215988,,Liang et al. (2017) Sci. Rep.,
30.11.13 20:27,25.015,121.542,CO2_trop,40.2,,20.9525961,,Liang et al. (2017) Sci. Rep.,
01.12.13 10:53,25.015,121.542,CO2_trop,40.72,,21.11073955,,Liang et al. (2017) Sci. Rep.,
02.12.13 14:03,25.015,121.542,CO2_trop,40.61,,21.07444783,,Liang et al. (2017) Sci. Rep.,
03.12.13 15:42,25.015,121.542,CO2_trop,40.6,,21.10410164,,Liang et al. (2017) Sci. Rep.,
07.12.13 12:07,25.015,121.542,CO2_trop,41.34,,21.43990786,,Liang et al. (2017) Sci. Rep.,
08.12.13 16:16,25.015,121.542,CO2_trop,41.18,,21.38752103,,Liang et al. (2017) Sci. Rep.,
07.01.14 15:12,25.015,121.542,CO2_trop,40.71,,21.14345838,,Liang et al. (2017) Sci. Rep.,
08.01.14 22:27,25.015,121.542,CO2_trop,39.92,,20.74136749,,Liang et al. (2017) Sci. Rep.,
20.01.14 11:42,25.015,121.542,CO2_trop,40.31,,20.95317146,,Liang et al. (2017) Sci. Rep.,
21.01.14 15:00,25.015,121.542,CO2_trop,40.72,,21.15566942,,Liang et al. (2017) Sci. Rep.,
22.01.14 22:15,25.015,121.542,CO2_trop,40.47,,21.09647725,,Liang et al. (2017) Sci. Rep.,
17.04.14 07:05,25.015,121.542,CO2_trop,40.73,,21.18115582,,Liang et al. (2017) Sci. Rep.,
18.04.14 09:05,25.015,121.542,CO2_trop,40.85,,21.24905975,,Liang et al. (2017) Sci. Rep.,
19.04.14 10:05,25.015,121.542,CO2_trop,41.21,,21.40270665,,Liang et al. (2017) Sci. Rep.,
20.04.14 12:00,25.015,121.542,CO2_trop,41.49,,21.5689463,,Liang et al. (2017) Sci. Rep.,
21.04.14 13:12,25.015,121.542,CO2_trop,41.25,,21.4331681,,Liang et al. (2017) Sci. Rep.,
22.04.14 15:07,25.015,121.542,CO2_trop,40.79,,21.20744901,,Liang et al. (2017) Sci. Rep.,
23.04.14 17:10,25.015,121.542,CO2_trop,40.82,,21.25838107,,Liang et al. (2017) Sci. Rep.,
22.07.14 10:10,25.015,121.542,CO2_trop,41.11,,21.28161622,,Liang et al. (2017) Sci. Rep.,
23.07.14 14:10,25.015,121.542,CO2_trop,40.92,,21.28756283,,Liang et al. (2017) Sci. Rep.,
24.07.14 19:15,25.015,121.542,CO2_trop,41.1,,21.43690749,,Liang et al. (2017) Sci. Rep.,
23.07.14 15:45,25.015,121.542,CO2_trop,37.68,,19.5552729,,Liang et al. (2017) Sci. Rep.,
25.07.14 11:15,25.015,121.542,CO2_trop,40.86,,21.17038316,,Liang et al. (2017) Sci. Rep.,
26.07.14 22:10,25.015,121.542,CO2_trop,37.84,,19.68839062,,Liang et al. (2017) Sci. Rep.,
26.07.14 01:12,25.015,121.542,CO2_trop,39.28,,20.38349641,,Liang et al. (2017) Sci. Rep.,
03.09.14 09:00,25.015,121.542,CO2_trop,39.71,,20.63908326,,Liang et al. (2017) Sci. Rep.,
04.09.14 12:00,25.015,121.542,CO2_trop,40.46,,21.01687637,,Liang et al. (2017) Sci. Rep.,
05.09.14 15:00,25.015,121.542,CO2_trop,41.15,,21.36110016,,Liang et al. (2017) Sci. Rep.,
19.03.15 10:26,25.015,121.542,CO2_trop,40.73,,21.13826711,,Liang et al. (2017) Sci. Rep.,
20.03.15 13:13,25.015,121.542,CO2_trop,41.49,,21.53727815,,Liang et al. (2017) Sci. Rep.,
21.03.15 13:21,25.015,121.542,CO2_trop,41.36,,21.464331,,Liang et al. (2017) Sci. Rep.,
22.03.15 13:30,25.015,121.542,CO2_trop,41.59,,21.62977439,,Liang et al. (2017) Sci. Rep.,
23.03.15 13:39,25.015,121.542,CO2_trop,41.56,,21.57679189,,Liang et al. (2017) Sci. Rep.,
24.03.15 13:50,25.015,121.542,CO2_trop,41.86,,21.73780694,,Liang et al. (2017) Sci. Rep.,
